video_url,caption,states_of_matter,source,complexity,majority_sa,majority_pc
phygenbench_videos/solid_fluid/001_A_cup_of_water_is_slowly_poured_out_in_the_space_station_releasing_the.mp4,"A cup of water is slowly poured out in the space station, releasing the liquid into the surrounding area",solid_fluid,phygenbench,0,1,1
phygenbench_videos/solid_fluid/002_A_cup_of_oil_is_slowly_poured_out_in_the_space_station_releasing_the_l.mp4,"A cup of oil is slowly poured out in the space station, releasing the liquid into the surrounding area",solid_fluid,phygenbench,0,1,1
phygenbench_videos/solid_fluid/003_A_bottle_of_juice_is_slowly_poured_out_in_the_space_station_releasing_.mp4,"A bottle of juice is slowly poured out in the space station, releasing the liquid into the surrounding area",solid_fluid,phygenbench,0,1,1
phygenbench_videos/solid_fluid/004_A_squeeze_of_honey_is_slowly_released_in_the_space_station_spreading_t.mp4,"A squeeze of honey is slowly released in the space station, spreading the liquid into the surrounding area",solid_fluid,phygenbench,0,1,1
phygenbench_videos/solid_fluid/005_A_can_of_soda_is_slowly_poured_out_in_the_space_station_releasing_the_.mp4,"A can of soda is slowly poured out in the space station, releasing the liquid into the surrounding area",solid_fluid,phygenbench,0,1,1
phygenbench_videos/solid_fluid/006_A_piece_of_iron_is_gently_placed_on_the_surface_of_the_water_in_a_tank.mp4,A piece of iron is gently placed on the surface of the water in a tank filled with water.,solid_fluid,phygenbench,0,1,1
phygenbench_videos/solid_fluid/007_A_stone_is_gently_placed_on_the_surface_of_a_pool_filled_with_water.mp4,A stone is gently placed on the surface of a pool filled with water.,solid_fluid,phygenbench,0,1,1
phygenbench_videos/solid_fluid/008_A_tennis_ball_is_gently_placed_on_the_surface_of_a_bucket_filled_with_.mp4,A tennis ball is gently placed on the surface of a bucket filled with water.,solid_fluid,phygenbench,0,1,1
phygenbench_videos/solid_fluid/009_A_piece_of_wood_block_is_gently_placed_on_the_surface_of_a_bowl_filled.mp4,A piece of wood block is gently placed on the surface of a bowl filled with water.,solid_fluid,phygenbench,0,1,1
phygenbench_videos/solid_fluid/010_A_glass_ball_is_gently_placed_on_the_surface_of_a_bathtub_filled_with_.mp4,A glass ball is gently placed on the surface of a bathtub filled with water.,solid_fluid,phygenbench,0,1,1
phygenbench_videos/solid_fluid/011_A_timelapse_of_a_water_filled_sponge_being_forcefully_squeezed_by_hand.mp4,"A timelapse of a water-filled sponge being forcefully squeezed by hand, with the pressure intensifying rapidly over time.",solid_fluid,phygenbench,1,1,1
phygenbench_videos/solid_fluid/012_A_timelapse_of_a_water_filled_soft_towel_being_forcefully_squeezed_by_.mp4,"A timelapse of a water-filled soft towel being forcefully squeezed by hand, with the pressure intensifying rapidly over time.",solid_fluid,phygenbench,1,1,1
phygenbench_videos/solid_solid/013_A_timelapse_of_a_balloon_filled_with_air_being_pressed_down_by_hand_wi.mp4,"A timelapse of a balloon filled with air being pressed down by hand, with the pressure intensifying rapidly over time.",solid_solid,phygenbench,1,1,1
phygenbench_videos/solid_solid/014_A_timelapse_of_a_open_toothpaste_tube_being_squeezed_by_hand_with_the_.mp4,"A timelapse of a open toothpaste tube being squeezed by hand, with the pressure intensifying rapidly over time.",solid_solid,phygenbench,1,1,1
phygenbench_videos/solid_fluid/015_A_timelapse_of_a_water_filled_soft_cloth_being_forcefully_squeezed_by_.mp4,"A timelapse of a water-filled soft cloth being forcefully squeezed by hand, with the pressure intensifying rapidly over time.",solid_fluid,phygenbench,1,1,1
phygenbench_videos/solid_solid/016_A_timelapse_of_air_being_gradually_and_forcefully_extracted_from_the_m.mp4,"A timelapse of air being gradually and forcefully extracted from the mouth of an empty, thin, sealed plastic bottle.",solid_solid,phygenbench,1,1,1
phygenbench_videos/solid_solid/017_A_timelapse_of_air_being_gradually_and_forcefully_extracted_from_a_sea.mp4,"A timelapse of air being gradually and forcefully extracted from a sealed, empty aluminum can.",solid_solid,phygenbench,1,1,1
phygenbench_videos/solid_solid/018_A_timelapse_of_air_being_gradually_and_forcefully_extracted_from_a_sea.mp4,"A timelapse of air being gradually and forcefully extracted from a sealed, empty plastic ball.",solid_solid,phygenbench,1,1,1
phygenbench_videos/solid_solid/019_A_timelapse_of_air_being_gradually_and_forcefully_pulled_out_of_an_emp.mp4,"A timelapse of air being gradually and forcefully pulled out of an empty, thin, sealed aluminium can.",solid_solid,phygenbench,1,1,1
phygenbench_videos/solid_solid/020_A_timelapse_of_air_being_gradually_and_forcefully_extracted_from_the_i.mp4,"A timelapse of air being gradually and forcefully extracted from the interior of a thin, sealed balloon.",solid_solid,phygenbench,1,1,1
phygenbench_videos/solid_solid/021_A_hand_slowly_presses_a_needle_into_the_surface_of_a_fully_inflated_ba.mp4,"A hand slowly presses a needle into the surface of a fully inflated balloon, with the tip gradually penetrating the outer layer.",solid_solid,phygenbench,1,1,1
